trek_name,cost_usd,duration_days,difficulty_level,max_altitude_m,accommodation,best_season,difficulty_encoded,fitness_encoded,acc_Guesthouse,acc_Lodge,acc_Teahouse,season_Spring & Autumn
Everest Base Camp Trek,1420.0,16,Moderate,5545.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest Base Camp Short Trek,1295.0,14,Moderate,5545.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest Base Camp Heli Shuttle Trek,2000.0,12,Moderate,5545.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest Base Camp Heli Trek,3300.0,11,Moderate,5545.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest Base Camp Trek For Seniors,1800.0,20,Moderate,5545.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest Chola Pass Trek,1720.0,19,Hard,5545.0,Guesthouse,Spring & Autumn,2,2,True,False,False,True
Gokyo Lake Renjo La Pass Trek,1450.0,16,Moderate,5360.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest High Passes Trek,1950.0,22,Hard,5545.0,Guesthouse,Spring & Autumn,2,2,True,False,False,True
Short Everest Trek,1060.0,7,Moderate,3900.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest Panorama Trek,1150.0,10,Moderate,3860.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Everest View Trek,1100.0,9,Moderate,3860.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Luxury Everest Base Camp Heli Trek,4200.0,11,Moderate,5545.0,Teahouse,Spring & Autumn,1,1,False,False,True,True
Everest Base Camp Trek With Chola And Renjo La Pass,1900.0,21,Hard,5545.0,Guesthouse,Spring & Autumn,2,2,True,False,False,True
Annapurna Base Camp Trek,1090.0,14,Moderate,4210.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Annapurna Base Camp Short Trek,1090.0,11,Moderate,4210.0,Teahouse,Spring & Autumn,1,1,False,False,True,True
Instant Annapurna Base Camp Trek,980.0,9,Moderate,4230.0,Guesthouse,Spring & Autumn,1,1,True,False,False,True
Annapurna Base Camp Heli Trek,1750.0,9,Moderate,4210.0,Teahouse,Spring & Autumn,1,1,False,False,True,True
